dimension_set,query,strategy,threshold_bytes,threshold_label,run,status,elapsed_s,setup_s,groups,total,bhj,smj,shuffle,bcast_ex,exchanges,bcast_ms,bcast_bytes,plan_file
dim10mb,q1,auto,22821,admits-1:date,4,ok,136.46,,200,3000078095504.6,1,3,8,1,9,455,1069024,/home/athenas/Downloads/jpp/JPP/results/plans/dim10mb/q1-auto-admits-1:date-r4.txt
dim10mb,q1,auto,363779,admits-2:date+supplier,4,ok,95.04,,200,3000078095504.6,2,2,6,2,8,1058,11057632,/home/athenas/Downloads/jpp/JPP/results/plans/dim10mb/q1-auto-admits-2:date+supplier-r4.txt
dim10mb,q1,auto,2512573,admits-3:date+supplier+part,4,ok,56.72,,200,3000078095504.6,3,1,4,3,7,2229,89366496,/home/athenas/Downloads/jpp/JPP/results/plans/dim10mb/q1-auto-admits-3:date+supplier+part-r4.txt
dim10mb,q1,auto,7876670,admits-4:date+supplier+part+customer,4,ok,26.76,,200,3000078095504.6,4,0,2,4,6,4538,247584224,/home/athenas/Downloads/jpp/JPP/results/plans/dim10mb/q1-auto-admits-4:date+supplier+part+customer-r4.txt
dim10mb,q1,auto,63013352,above-all-8x,4,ok,28.48,,200,3000078095504.6,4,0,2,4,6,5269,247584224,/home/athenas/Downloads/jpp/JPP/results/plans/dim10mb/q1-auto-above-all-8x-r4.txt
dim10mb,q1,joinless,-1,pattern,5,ok,21.34,3.56,200,3000078095504.6,0,0,2,0,2,0,0,/home/athenas/Downloads/jpp/JPP/results/plans/dim10mb/q1-joinless-pattern-r5.txt
dim10mb,q1,auto,10485760,default-10MiB,5,ok,26.80,,200,3000078095504.6,4,0,2,4,6,5358,247584224,/home/athenas/Downloads/jpp/JPP/results/plans/dim10mb/q1-auto-default-10MiB-r5.txt
dim10mb,q1,auto,22821,admits-1:date,5,ok,136.89,,200,3000078095504.6,1,3,8,1,9,384,1069024,/home/athenas/Downloads/jpp/JPP/results/plans/dim10mb/q1-auto-admits-1:date-r5.txt
dim10mb,q1,auto,363779,admits-2:date+supplier,5,ok,93.46,,200,3000078095504.6,2,2,6,2,8,1053,11057632,/home/athenas/Downloads/jpp/JPP/results/plans/dim10mb/q1-auto-admits-2:date+supplier-r5.txt
dim10mb,q1,auto,2512573,admits-3:date+supplier+part,5,ok,56.04,,200,3000078095504.6,3,1,4,3,7,2029,89366496,/home/athenas/Downloads/jpp/JPP/results/plans/dim10mb/q1-auto-admits-3:date+supplier+part-r5.txt
dim10mb,q1,auto,7876670,admits-4:date+supplier+part+customer,5,ok,26.01,,200,3000078095504.6,4,0,2,4,6,5033,247584224,/home/athenas/Downloads/jpp/JPP/results/plans/dim10mb/q1-auto-admits-4:date+supplier+part+customer-r5.txt
dim10mb,q1,auto,63013352,above-all-8x,5,ok,27.14,,200,3000078095504.6,4,0,2,4,6,4806,247584224,/home/athenas/Downloads/jpp/JPP/results/plans/dim10mb/q1-auto-above-all-8x-r5.txt
dim100mb,q1,joinless,-1,pattern,1,ok,27.46,10.73,200,3000078095504.6,0,0,2,0,2,0,0,/home/athenas/Downloads/jpp/JPP/results/plans/dim100mb/q1-joinless-pattern-r1.txt
dim100mb,q1,auto,10485760,default-10MiB,1,ok,58.07,,200,3000078095504.6,3,1,4,3,7,2309,89366496,/home/athenas/Downloads/jpp/JPP/results/plans/dim100mb/q1-auto-default-10MiB-r1.txt
dim100mb,q1,auto,22821,admits-1:date,1,ok,138.75,,200,3000078095504.6,1,3,8,1,9,343,1069024,/home/athenas/Downloads/jpp/JPP/results/plans/dim100mb/q1-auto-admits-1:date-r1.txt
dim100mb,q1,auto,363779,admits-2:date+supplier,1,ok,97.32,,200,3000078095504.6,2,2,6,2,8,987,11057632,/home/athenas/Downloads/jpp/JPP/results/plans/dim100mb/q1-auto-admits-2:date+supplier-r1.txt
dim100mb,q1,auto,2512573,admits-3:date+supplier+part,1,ok,55.89,,200,3000078095504.6,3,1,4,3,7,2208,89366496,/home/athenas/Downloads/jpp/JPP/results/plans/dim100mb/q1-auto-admits-3:date+supplier+part-r1.txt
dim100mb,q1,auto,66777535,admits-4:date+supplier+part+customer,1,ok,34.18,,200,3000078095504.6,4,0,2,4,6,13567,1366905240,/home/athenas/Downloads/jpp/JPP/results/plans/dim100mb/q1-auto-admits-4:date+supplier+part+customer-r1.txt
dim100mb,q1,auto,534220272,above-all-8x,1,ok,34.64,,200,3000078095504.6,4,0,2,4,6,12686,1366905240,/home/athenas/Downloads/jpp/JPP/results/plans/dim100mb/q1-auto-above-all-8x-r1.txt
dim100mb,q1,joinless,-1,pattern,2,ok,25.64,8.69,200,3000078095504.6,0,0,2,0,2,0,0,/home/athenas/Downloads/jpp/JPP/results/plans/dim100mb/q1-joinless-pattern-r2.txt
dim100mb,q1,auto,10485760,default-10MiB,2,ok,57.17,,200,3000078095504.6,3,1,4,3,7,2212,89366496,/home/athenas/Downloads/jpp/JPP/results/plans/dim100mb/q1-auto-default-10MiB-r2.txt
dim100mb,q1,auto,22821,admits-1:date,2,ok,139.65,,200,3000078095504.6,1,3,8,1,9,420,1069024,/home/athenas/Downloads/jpp/JPP/results/plans/dim100mb/q1-auto-admits-1:date-r2.txt
dim100mb,q1,auto,363779,admits-2:date+supplier,2,ok,93.72,,200,3000078095504.6,2,2,6,2,8,1028,11057632,/home/athenas/Downloads/jpp/JPP/results/plans/dim100mb/q1-auto-admits-2:date+supplier-r2.txt
dim100mb,q1,auto,2512573,admits-3:date+supplier+part,2,ok,57.59,,200,3000078095504.6,3,1,4,3,7,2177,89366496,/home/athenas/Downloads/jpp/JPP/results/plans/dim100mb/q1-auto-admits-3:date+supplier+part-r2.txt
